on_off,peak_amplitude,peak_latency,onset_latency,offset_latency,deceleration,acceleration
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
1,0.788951016366707,0.43307279044711,0.126301842471175,0.929288376375654,0.0670982930817855,0.0420127294587017
0,NaN,NaN,NaN,NaN,NaN,NaN
1,0.948602794411178,0.395944170990429,0.146386285671687,0.870398844002507,0.0430023154610881,0.0828736694960872
0,NaN,NaN,NaN,NaN,NaN,NaN
1,0.79372197309417,0.400803443625447,0.109821555118893,0.916648130709628,0.0286560653892721,0.0606942041574073
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
1,0.84894752445894,0.221283429460517,0.0827255590848762,0.861639046137251,0.0376059096750967,0.0771580440330492
0,NaN,NaN,NaN,NaN,NaN,NaN
1,0.943731279418057,0.468316834359257,0.168567163277242,0.883181853537583,0.0626799968094461,0.0723326552288571
1,0.735684023506902,0.326922692370049,0.0998244305284457,0.87672313742523,0.0258539148913823,0.0752965848894473
0,NaN,NaN,NaN,NaN,NaN,NaN
1,0.714566652619749,0.413538486400382,0.0878288879276528,0.925338288258264,0.0367013168728824,0.0456896380564632
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
1,0.620033458803848,0.26565926092869,0.0948328759845851,0.877701733870054,0.0685907174233842,0.0605247749746986
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
1,0.693262411347519,0.452135610185308,0.0935016857121842,0.946445490361562,0.0176894167775966,0.0298397725520453
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
