on_off,peak_amplitude,peak_latency,onset_latency,offset_latency,deceleration,acceleration
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
1,0.6875,0.461585198215873,0.186927067807895,0.884054466121458,0.057772407523505,0.0576299025914008
1,0.724468777103208,0.430434801569373,0.126281052439028,0.899213971970609,0.0457950956462992,0.058850144873869
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
1,0.672233136869678,0.415145147743612,0.0751684335874325,0.893574349659665,0.0312430846857117,0.0472434230957812
1,0.705083220872695,0.40691423808277,0.11414841927297,0.910236299574844,0.0356245681103291,0.0398041167677235
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
1,0.648802626496717,0.4407365814758,0.129699086229287,0.88265032947106,0.0411807553238741,0.0520983958469109
0,NaN,NaN,NaN,NaN,NaN,NaN
1,0.688261979018996,0.368282342817942,0.0810656072057895,0.870418543247537,0.0361038354005427,0.068097419764702
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
1,0.599377903771951,0.491310811105424,0.169463370642912,0.905388495694245,0.0572399021471042,0.0335067027216414
1,0.763483064398895,0.49258371349511,0.131437738529195,0.904981594978308,0.0732118058827777,0.0588804712679199
1,0.784597398801696,0.406443925363515,0.0971080971323751,0.880255682077652,0.0413877277412856,0.0711020917835506
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
