on_off,peak_amplitude,peak_latency,onset_latency,offset_latency,deceleration,acceleration
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
1,0.870937790157847,0.368992529390774,0.0759861109592889,0.889459565448811,0.0409956212161446,0.092775135295491
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
1,0.787634408602151,0.305515943077244,0.130269636303902,0.951198611235803,0.0624198901655956,0.037177753189062
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
1,0.621252997601918,0.227834551954991,0.0404879517649428,0.860536152207556,1.38777878078145e-17,0.0687478614741869
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
1,0.571197411003236,0.410244585788949,0.174180214773126,0.941499985951929,0.0928399895356509,0.020962551763376
0,NaN,NaN,NaN,NaN,NaN,NaN
1,1,0.47340106808595,0.0927939129727147,0.920720402772979,0.0862260212475168,0.0596700453128037
1,0.61749712218385,0.558243001894716,0.173064086311002,0.923358641355378,0.0516697006067343,0.0303490226023079
1,0.848813209494323,0.334191172052421,0.126463144817951,0.863262533704854,0.0880723088939797,0.0795099902531709
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
1,0.510288065843622,0.31586826406215,0.114404768278858,0.873225690478971,6.93889390390723e-18,0.0591264128601595
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
