on_off,peak_amplitude,peak_latency,onset_latency,offset_latency,deceleration,acceleration
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
1,0.724024673556038,0.481542417555157,0.167720809840299,0.937258014448814,0.0495803319742425,0.0265538421642381
0,NaN,NaN,NaN,NaN,NaN,NaN
1,0.72266081871345,0.554892140491644,0.181994742429673,0.922478239037321,0.0403454163027816,0.0433657574378269
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
1,0.819225100021059,0.341159234919873,0.133447149814054,0.906744845827415,0.0576724961832257,0.0501501516510592
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
1,0.489949748743719,0.441833295037577,0.160455089188535,0.934416297412001,0.0654440106588404,6.93889390390723e-18
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
1,0.636521739130435,0.421198142801538,0.167941946790984,0.880573376616795,0.0314444490877635,0.0727316752156659
0,NaN,NaN,NaN,NaN,NaN,NaN
1,0.694663017447828,0.501162704642656,0.143273244352187,0.902873113102075,0.0559301694543228,0.0503495617465336
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
1,0.627203214100569,0.447882059482161,0.162807121815794,0.851228246917579,0.0532092936475571,0.0685327701725147
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
1,0.789650949173302,0.38013567397179,0.119441411567382,0.846982423419968,0.0968330221853011,0.0786892907490408
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN
